commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 脑洞大开的想象世界，绚丽多彩，场面也是很完美了，毕竟是摄影专业出生的导演，保证了电影的画面，还带来了一些新的创意和元素。
        ",昆塔：反转星球 短评,390348839,https://www.douban.com/people/62094946/,力荐,"
                    2017-09-17
                ",25
" 续篇反转的不仅是一个新的适宜地球人居住的开普勒星，更有昆塔之后新一代人的热血继承。
        ",昆塔：反转星球 短评,绯色_神仙,https://www.douban.com/people/77869650/,推荐,"
                    2017-09-26
                ",16
" 七。。。七大大。。。。。。我直到影片快结束才明白过来这个名字怎么回事，剧情、台词真的很尴尬。。。。。选片失误，假期带两个娃来看，感觉超对不起他们
        ",昆塔：反转星球 短评,小白新之助,https://www.douban.com/people/14809903/,较差,"
                    2017-10-07
                ",3
" 困死了
        ",昆塔：反转星球 短评,澳大利亚喂袋鼠,https://www.douban.com/people/18021724/,还行,"
                    2017-10-01
                ",7
" 难得剧情不错
        ",昆塔：反转星球 短评,有若,https://www.douban.com/people/ruospring/,推荐,"
                    2017-09-17
                ",18
" 太惊喜，视效堪称国产动画的里程碑，细微到发丝颗粒，瞳孔纹理。沙漠渐变成海浪的那一刻，毛孔都被触动得浑身激灵。良心之作《昆塔：反转星球》，关于勇气和信念的童话，献给奋力拼搏的你。

容许我强行安利：不看这部电影，你不会死。但是你看过的话，你会更加勇敢的活下去。
        ",昆塔：反转星球 短评,顾海堂,https://www.douban.com/people/146342161/,力荐,"
                    2017-09-16
                ",23
" 超出预期，确实有能打动到我的点，小主角的勇气非常感人。制作也很精良。希望这个世界上的付出都能有回报。
        ",昆塔：反转星球 短评,孙悟空,https://www.douban.com/people/42241228/,推荐,"
                    2017-10-01
                ",17
" 画面很美，音乐好听，看过的最用心的国产动画。
                
                ",昆塔：反转星球 短评,花花,https://www.douban.com/people/2530460/,力荐,"
                    2017-10-03
                ",10
" 有点意外，制作很精良，对于外星世界的描绘和蒸朋风格机械的设计很令人欣喜。最爱的还是那首彝族歌曲，太美了，很成功塑造出既熟悉又陌生的感受，带领我一秒进入外星异世界，同时又充满怀恋家乡的感伤。
是一部真正的科幻片，适合寻找勇气的孩子们。
        ",昆塔：反转星球 短评,小姬,https://www.douban.com/people/jishaoting/,推荐,"
                    2017-09-23
                ",22
" 画面一流，卡拉萝盛开、火山喷发、沙漠变海的效果真心不亚于好莱坞，故事一般，但比起第一集来说文本上有很大进步，最起码比较流畅，人物刻画也不错。但问题是角色形象不讨喜，创作者脑洞有点大，角色造型奇怪 ，小黄人为什么全球风靡，因为形象好，本片画面再优秀但在造型方面吃了不少亏
        ",昆塔：反转星球 短评,乌鸦火堂,https://www.douban.com/people/dreamfox/,还行,"
                    2017-10-09
                ",0
" 科幻、蒸汽朋克，场景满分，配乐满分，原创音乐“蓝色卡拉萝”超好听。
        ",昆塔：反转星球 短评,残风,https://www.douban.com/people/65915294/,力荐,"
                    2017-09-17
                ",17
